iter	Passed	Remaining
0	0	231
1	1	238
2	2	211
3	2	199
4	3	192
5	3	176
6	4	170
7	4	171
8	5	170
9	6	175
10	6	172
11	7	171
12	7	166
13	8	163
14	8	161
15	9	162
16	9	164
17	10	164
18	11	167
19	12	169
20	13	176
21	13	175
22	14	173
23	14	168
24	15	166
25	15	164
26	15	161
27	16	159
28	16	158
29	17	158
30	18	158
31	18	156
32	19	154
33	19	153
34	20	152
35	20	151
36	21	150
37	21	148
38	21	146
39	22	146
40	22	144
41	23	146
42	24	146
43	24	144
44	25	143
45	25	141
46	26	140
47	26	141
48	27	140
49	28	140
50	28	139
51	29	138
52	29	138
53	30	137
54	30	135
55	30	133
56	31	133
57	32	133
58	32	133
59	33	132
60	33	132
61	34	131
62	34	131
63	35	130
64	35	129
65	36	128
66	36	128
67	37	127
68	37	126
69	38	125
70	38	124
71	39	124
72	39	124
73	40	123
74	41	123
75	41	123
76	42	122
77	42	122
78	43	121
79	43	120
80	44	119
81	44	118
82	44	117
83	45	116
84	46	116
85	46	116
86	47	115
87	47	115
88	48	114
89	48	114
90	49	113
91	49	112
92	50	111
93	50	111
94	51	110
95	51	109
96	52	108
97	52	108
98	53	107
99	53	107
100	54	106
101	54	106
102	55	106
103	55	105
104	56	104
105	56	104
106	57	103
107	57	102
108	58	102
109	58	101
110	59	100
111	59	99
112	59	98
113	60	98
114	60	98
115	61	97
116	62	97
117	62	96
118	63	95
119	63	95
120	63	94
121	64	93
122	64	93
123	65	92
124	65	91
125	66	91
126	66	91
127	67	90
128	68	90
129	68	89
130	69	89
131	69	88
132	70	88
133	70	87
134	71	87
135	72	86
136	72	86
137	73	85
138	73	85
139	73	84
140	74	83
141	74	83
142	75	82
143	75	82
144	76	81
145	77	81
146	77	80
147	77	80
148	78	79
149	78	78
150	79	78
151	79	77
152	80	77
153	80	76
154	81	75
155	81	75
156	82	74
157	82	74
158	83	73
159	83	73
160	84	72
161	85	72
162	85	71
163	86	71
164	86	70
165	87	70
166	87	69
167	87	69
168	88	68
169	88	67
170	89	67
171	89	66
172	90	66
173	91	66
174	91	65
175	92	65
176	93	64
177	93	64
178	94	63
179	94	63
180	94	62
181	95	61
182	95	61
183	96	60
184	96	60
185	97	59
186	98	59
187	98	58
188	99	58
189	99	57
190	100	57
191	100	56
192	100	55
193	101	55
194	101	54
195	102	54
196	102	53
197	103	53
198	103	52
199	104	52
200	104	51
201	105	51
202	106	50
203	106	50
204	107	49
205	108	49
206	108	48
207	109	48
208	109	47
209	109	47
210	110	46
211	110	45
212	110	45
213	111	44
214	112	44
215	112	43
216	113	43
217	114	42
218	115	42
219	115	42
220	116	41
221	116	40
222	117	40
223	117	39
224	118	39
225	118	38
226	119	38
227	119	37
228	120	37
229	121	36
230	121	36
231	122	35
232	122	35
233	123	34
234	123	34
235	124	33
236	124	33
237	124	32
238	125	32
239	126	31
240	126	31
241	127	30
242	128	30
243	128	29
244	129	29
245	129	28
246	130	27
247	130	27
248	131	26
249	131	26
250	132	25
251	132	25
252	133	24
253	133	24
254	134	23
255	134	23
256	135	22
257	135	22
258	136	21
259	136	21
260	137	20
261	137	19
262	138	19
263	138	18
264	139	18
265	139	17
266	140	17
267	140	16
268	141	16
269	141	15
270	142	15
271	143	14
272	143	14
273	144	13
274	144	13
275	145	12
276	145	12
277	146	11
278	146	11
279	146	10
280	147	9
281	147	9
282	148	8
283	149	8
284	149	7
285	150	7
286	150	6
287	151	6
288	151	5
289	152	5
290	152	4
291	153	4
292	153	3
293	154	3
294	154	2
295	154	2
296	155	1
297	156	1
298	156	0
299	157	0
