mae,rmse,p,d,q,P,D,Q,s
1.5950966320611102,2.494743481625641,1,0,2,0,1,1,12
1.6049416245414667,2.333754160557917,2,1,3,2,0,2,12
1.6092416453281628,2.2539745889807894,3,0,0,0,1,1,12
1.6142526147197116,2.226621376001757,0,1,0,0,1,0,12
1.6171503617820762,2.3369503503759246,3,1,1,0,1,1,12
1.6333777990068914,2.410969195249001,2,1,1,0,1,1,12
1.6527448965224252,2.2920613529808636,1,0,0,0,1,0,12
1.6601007872668159,2.363144006338421,2,2,0,2,0,2,12
1.6749237981001737,2.462461017099234,2,0,0,0,1,1,12
1.7055478282274104,2.2607868996442795,3,0,1,0,1,1,12
1.7303323531451416,2.4179920108722763,1,1,3,2,0,1,12
1.7315862984097639,2.410973131384642,0,2,1,0,1,0,12
1.7580447163453987,2.4334481534703207,3,1,3,0,1,0,12
1.7680593905315467,2.7154779613505706,1,2,1,2,1,0,12
1.7683966436529288,2.4872037732861454,1,0,1,0,1,0,12
1.780627346509549,2.298630870191213,3,1,0,2,0,1,12
1.789813515416439,2.3272497949408453,2,1,3,2,0,1,12
1.800446468704574,2.6775901820277075,1,1,0,2,0,1,12
1.804733298168017,2.378711969402988,0,1,1,0,1,1,12
1.8053443004047935,2.5009869845381107,0,1,1,0,1,0,12
1.8054033186780065,2.5876217213739414,1,1,0,0,1,0,12
1.8075361312878888,2.396003684944175,1,1,1,0,1,1,12
1.808416997374099,2.3697142615075015,1,0,1,0,1,1,12
1.8089584571018127,2.685151019713284,1,1,1,2,0,1,12
1.8145669362402945,2.459071851765245,0,1,2,0,1,1,12
1.8168983725115293,2.472217488164457,3,2,0,2,0,2,12
1.8268661436401183,2.511854898758508,0,2,1,2,0,2,12
1.83256349744749,2.5182482740231653,2,1,1,2,0,1,12
1.8338315369310796,2.767573640850699,0,1,3,0,1,1,12
1.8382379826358435,2.5872884418579747,1,2,2,2,0,1,12
1.8415746975098315,2.30761424440355,3,1,2,2,0,1,12
1.8424124373667694,2.466039370564565,0,1,0,2,0,1,12
1.8425228914612215,2.3187750452743954,2,0,1,0,1,1,12
1.84995551184701,2.667782047512019,1,2,1,2,0,1,12
1.8504989361368895,2.5485665877364965,2,1,2,2,0,1,12
1.8645031785278314,2.617988912864605,0,2,2,0,1,0,12
1.866847231863383,2.3906814372084604,3,1,3,1,0,2,12
1.8679016805878916,2.6531847964505193,0,2,2,2,0,1,12
1.8848690571178044,2.310324268829655,0,1,0,0,1,1,12
1.8859160293487633,2.400405943863529,3,1,1,2,0,1,12
1.9025259544643853,2.6884761649353366,2,0,0,0,1,0,12
1.9032745748774373,2.4427712498378726,1,1,0,0,1,1,12
1.9170779414361676,3.0072151162645704,3,1,1,0,1,2,12
1.9176934561878107,2.6246542121744576,3,1,2,0,1,0,12
1.9196653030269835,2.626083196875184,0,1,2,2,0,2,12
1.9277085801197256,2.9523434587526673,2,1,1,0,1,2,12
1.9532850718273012,2.70943932394952,1,1,2,2,0,1,12
1.9703799179470824,2.8106342839606273,3,1,0,2,0,2,12
1.9717947048697904,2.794403575479589,2,1,0,2,0,2,12
1.9739520744491377,2.283750139723773,0,0,0,0,1,0,12
1.974431817772563,2.7674725325124805,0,2,1,2,0,1,12
1.9787495172277947,2.8956840709045997,3,2,1,1,1,2,12
1.9801384199421739,2.372520400447715,3,1,0,0,1,1,12
1.9809004009643043,2.5294980537687723,0,1,1,2,0,1,12
1.9915571554393405,2.949912171310231,2,1,2,2,0,2,12
1.9957643946205952,2.485699710551926,0,1,2,2,0,1,12
2.008202697274796,2.916242414731817,2,1,2,0,1,0,12
2.0117323679313444,2.852709061921914,1,2,1,0,1,0,12
2.01214796224882,2.532556464475473,2,1,3,2,1,2,12
2.019606741199658,2.7195678057672894,1,0,1,2,1,1,12
2.0200663478221457,2.8265167455345934,3,2,2,2,0,2,12
2.0252468307495755,2.6092957617484314,0,2,3,2,0,1,12
2.035188397242262,2.5240501708676395,3,0,2,0,1,0,12
2.0358562893696863,2.753966892342079,3,0,2,2,1,0,12
2.0388766467061883,3.111471741259436,3,1,0,1,1,2,12
2.0433948441421297,2.9791077097168492,0,2,3,2,0,2,12
2.053021259674151,2.7811373384170817,2,1,3,0,1,1,12
2.0708088225589476,2.964580469075971,1,0,0,0,1,2,12
2.07257517193619,2.5183661508255697,2,2,1,2,0,2,12
2.073833683782159,2.9448576201874466,3,0,2,2,1,1,12
2.0797359844290497,2.9249904328016165,1,1,1,0,1,0,12
2.0842765004679893,2.484043961331554,2,1,0,0,1,1,12
2.100302046352682,2.851517409692334,3,0,1,0,1,2,12
2.1040488190225326,2.567225298880058,3,1,3,0,1,1,12
2.1117314498989694,2.6436652052173986,2,0,2,2,1,1,12
2.115082787816714,2.9651937268180073,3,0,1,1,1,2,12
2.121579598845046,2.838313243728424,3,0,1,2,1,2,12
2.1262132215101985,3.011118893642694,1,0,1,2,1,0,12
2.1267525962652445,3.0469100467878425,2,0,1,2,1,1,12
2.1304845373011707,2.9014102388447016,2,0,0,1,1,2,12
2.1332973033520566,2.798920547333454,3,2,0,2,0,1,12
2.1366440825383535,2.720719556474773,1,1,2,0,1,1,12
2.1372849454820595,2.5603992689178985,2,1,2,0,1,1,12
2.154438957678976,2.6909607044567574,1,1,3,0,1,1,12
2.154544163004931,3.1400322341517333,0,1,0,2,0,2,12
2.160459004500286,2.477974088132901,3,1,3,2,0,2,12
2.165469102817561,3.1935971821037277,2,1,3,0,1,0,12
2.169164639389886,3.103564497026098,3,0,0,1,1,2,12
2.1691978158643366,2.621227367041485,1,2,3,2,0,1,12
2.1694787738648054,2.641050105220922,2,2,2,2,0,1,12
2.1733284606971637,2.6913820745584047,3,2,1,2,0,2,12
2.175057581544377,3.057056937849633,2,0,1,2,1,0,12
2.2009247825726597,2.897435311191376,2,0,1,1,1,2,12
2.20682595808226,3.1927130104627213,3,1,1,2,0,2,12
2.2089673964696592,3.083055928055456,2,2,2,2,0,2,12
2.2102773009926295,3.348280659055422,1,1,2,1,1,1,12
2.214558935298506,3.0663160666064044,2,0,2,0,1,1,12
2.215356401353475,2.6835100141105253,3,1,3,2,1,1,12
2.2162805925296825,3.1192871473479635,2,0,0,0,1,2,12
2.223081340086737,3.260010395580797,1,1,2,2,0,2,12
2.2283087769754313,2.900723043173092,2,0,1,2,1,2,12
2.2287309102985895,3.0790396397480553,3,0,2,2,1,2,12
2.230255493522403,2.9669601400065475,2,0,2,2,1,0,12
2.23733918148533,2.6122236076124943,0,0,1,0,1,0,12
2.2409185972693035,3.145184977328702,2,0,0,2,1,0,12
2.245887844288899,3.2243188129670792,1,0,1,1,1,2,12
2.24622053140282,3.1700344828457503,0,2,1,1,1,1,12
2.255174272316204,2.9371191928054343,1,0,0,1,1,2,12
2.256408024101262,3.1685048806414686,1,0,1,0,1,2,12
2.2584036272251513,3.160770227714776,0,1,0,1,1,1,12
2.2593840802763916,2.5965706120998204,2,1,2,0,0,0,12
2.266417628719724,2.6191773216312946,3,1,2,0,0,0,12
2.266689921741952,3.1785444285050506,2,0,1,0,1,2,12
2.2684970381683995,3.352313580404331,1,1,1,1,1,1,12
2.271274268700809,2.541088269947217,3,1,3,2,0,1,12
2.2790552056446773,2.6981774844446558,3,1,1,2,1,1,12
2.294189792623803,2.815676559892667,2,0,0,2,1,1,12
2.2980769529161136,2.875627333380178,3,0,1,2,1,1,12
2.299770604269198,3.2563659740882236,1,2,1,2,0,2,12
2.3020235263021798,3.1953253909441246,2,0,3,0,1,2,12
2.3066441305885377,2.8998006804791747,3,1,2,0,1,1,12
2.3161766918389723,2.607926019084872,1,1,3,2,0,2,12
2.31812542941962,2.815356369057377,3,2,3,2,0,1,12
2.3183698513808584,3.3477412868417153,2,1,1,1,1,1,12
2.3205341741294867,2.8453419243035034,2,1,0,2,0,1,12
2.321625393722124,3.057289805275344,3,1,3,1,1,0,12
2.333868472417852,3.019800339028294,1,0,0,2,1,0,12
2.3384168020316416,3.4296930636143275,0,1,2,1,1,1,12
2.34092575547918,3.199498436282217,2,0,3,1,1,2,12
2.3436038954902565,3.0066783135727144,3,0,1,2,1,0,12
2.3441877803370477,3.4491813814207055,3,1,0,1,1,1,12
2.3460278267959693,2.6554105403401156,3,1,1,0,0,0,12
2.347783750107587,3.2153849811028805,3,0,2,0,1,1,12
2.3512617501935713,2.8447664365020775,1,0,0,2,1,2,12
2.351536084944875,2.9978395389234804,2,0,3,2,1,0,12
2.352721442214686,3.17662320305018,1,0,2,2,1,0,12
2.3546741612080617,3.2707529734497793,3,0,2,0,1,2,12
2.363924511963692,2.937178458826325,1,0,3,2,1,1,12
2.3679655520867056,3.317458072541461,0,1,2,0,1,0,12
2.3772567236724362,3.4222866715308,2,1,0,1,1,1,12
2.380744453135083,3.315420938049771,2,1,0,0,1,0,12
2.3809793740395415,3.3540452057927816,3,0,0,0,1,0,12
2.3823906552784666,2.9916774658362675,0,0,3,2,1,2,12
2.385122897432783,3.3506415777828646,1,1,0,2,0,2,12
2.387179195252898,3.330954151820409,3,1,1,0,1,0,12
2.387418084090995,3.0179433359091106,2,1,3,1,1,0,12
2.3975789277941173,2.9602191123685047,3,1,0,0,1,2,12
2.398278476644962,3.4082761005753035,0,0,2,2,1,1,12
2.3990974367159046,3.404786332457184,1,1,0,1,1,1,12
2.4007311184616555,3.6224224689748925,3,1,3,1,1,1,12
2.4030232182405826,3.3219416941754396,1,2,2,2,0,2,12
2.405030751516179,3.504357476168898,2,2,1,1,1,1,12
2.4058275137573286,2.7562862330585163,0,1,0,0,0,0,12
2.4172621305355677,3.226341855529282,3,0,3,0,1,2,12
2.4183228525660807,3.454364245065245,0,1,1,1,1,1,12
2.4239511094526835,2.8649995609613335,3,1,3,2,1,0,12
2.4250826999620188,2.746856583710249,3,1,0,0,0,0,12
2.426293907826863,3.5995420754819385,3,1,2,1,1,1,12
2.426692479990568,2.7285773556985524,0,1,0,0,0,1,12
2.426734252338651,2.733232322828859,0,0,0,1,1,0,12
2.435085023654083,2.901202182934438,2,1,1,1,1,2,12
2.4374807688520224,3.3215244155901225,3,0,0,0,1,2,12
2.4401386139123415,2.7887960857098095,1,1,2,1,0,0,12
2.442280354697919,3.0184522401405367,1,1,1,0,1,2,12
2.44896627138613,3.5285503004863146,2,0,2,1,1,2,12
2.4492193453699325,3.457302319741017,3,2,1,0,1,0,12
2.4501130861698064,2.797911084282442,0,1,1,0,0,0,12
2.454163381592528,2.739234760877775,2,1,3,1,0,0,12
2.4631050248319366,2.812263573217892,1,1,0,0,0,0,12
2.4679200609258696,3.4120105640330833,0,0,2,0,1,0,12
2.471591889456872,2.7467538168421965,2,1,3,0,0,1,12
2.4732059553361654,2.8357412836067133,1,1,2,0,0,0,12
2.474029830890735,3.111518441806819,1,1,0,1,1,2,12
2.475209369646694,2.9678836338441332,2,0,0,1,1,0,12
2.4759355012280615,3.544769880553131,0,2,2,1,1,1,12
2.477322857941462,2.902022645934222,1,0,0,2,1,1,12
2.478651633830063,3.6663392264064316,2,1,2,1,1,2,12
2.478840251153887,3.613698176984502,3,2,1,1,1,1,12
2.48355484590763,3.0089652987416495,2,1,0,1,1,2,12
2.4882261577834424,2.8690167428181987,0,1,2,0,0,0,12
2.491812576477617,2.8481701020510055,1,1,1,0,0,0,12
2.4923278336100196,2.992440256224366,0,1,2,2,1,2,12
2.4953758409225184,3.0501404708686506,0,1,1,1,1,2,12
2.498810748389645,3.114663557140351,3,0,0,2,1,0,12
2.49933240925207,3.4177910528352915,1,0,2,2,1,2,12
2.5026306473683366,3.012284810360739,0,1,1,2,0,2,12
2.5043875001242233,3.566763587723774,0,0,2,2,1,0,12
2.512908999517548,3.1156713763027613,2,2,3,0,1,2,12
2.513725603094835,3.227591356428823,0,0,0,1,1,2,12
2.5149471879352037,3.220285476296355,0,1,3,2,1,1,12
2.5150688916863952,3.2771067961576157,1,0,0,1,1,1,12
2.5197314995469573,2.8867841049631777,2,1,1,0,0,0,12
2.5198933436114817,2.8103893916684064,1,1,0,0,0,1,12
2.5215097909114093,3.2698839628452205,3,0,3,1,1,2,12
2.522509705344744,2.891409340786747,2,1,0,0,0,0,12
2.5234334422782734,3.7353893282859443,2,2,2,1,1,1,12
2.53157565237575,3.0594350891813944,0,1,0,1,1,2,12
2.53448028315292,3.6282427254200105,3,2,2,1,1,1,12
2.542215867050652,3.012699518225012,3,0,0,1,1,0,12
2.555031539281428,2.737224175502115,1,0,0,0,1,1,12
2.558577968240143,3.513876893630067,0,1,1,2,0,0,12
2.5626191671047507,2.8838596925832367,0,1,0,1,0,0,12
2.564997349312345,2.927633414964276,0,1,3,0,0,0,12
2.5673827565736245,3.032749153015344,0,1,1,0,1,2,12
2.5709200458285864,2.9776717561697863,0,1,3,0,1,2,12
2.571851339651504,2.9139412476371667,1,1,3,0,0,0,12
2.572276610219771,3.1152185078479895,0,1,0,0,1,2,12
2.579056842036821,3.2518809494617402,0,1,0,2,1,1,12
2.581673700747807,2.883280643992479,2,1,3,0,0,0,12
2.582661607356995,3.331236611369701,0,1,0,2,0,0,12
2.585972573025891,3.839241757753234,1,1,3,1,1,1,12
2.5907807311179805,3.299052272983992,3,1,2,2,0,2,12
2.5945030788813703,3.3006693264196945,3,1,1,0,0,1,12
2.5966841985991826,2.901046030177719,0,1,1,1,0,0,12
2.597946412329246,3.605783947218884,3,0,0,2,1,2,12
2.6025672112801166,3.6596018778693202,1,2,2,1,1,1,12
2.6076490911742836,3.2560891152118705,0,1,3,2,0,1,12
2.6104589847498865,3.609106241635711,0,0,3,0,1,0,12
2.6110519883879553,3.4167992143418893,1,0,2,1,1,1,12
2.6119272065486143,3.163528869655237,1,1,0,0,1,2,12
2.613998624417775,3.406919971928861,3,1,2,1,0,1,12
2.614430578599244,2.852393462760981,1,1,0,1,0,1,12
2.6155255713126544,3.6637181904021863,0,1,3,2,0,0,12
2.6192635314348234,2.962826327545085,2,2,3,2,0,2,12
2.6214095360563543,3.04795631702687,3,0,0,2,1,1,12
2.6227726912335196,2.9236066213514595,3,1,3,0,0,0,12
2.626153258352678,3.6463848792637963,2,0,3,0,1,0,12
2.627423776883802,3.6103954075868283,0,0,3,2,1,0,12
2.6294069837084817,3.6182383886686638,1,1,0,2,0,0,12
2.631386439013836,3.1497063276761095,0,2,1,1,1,2,12
2.631612136990096,3.0773428777400738,1,1,3,0,1,2,12
2.6321277638881013,3.6553628732113226,1,0,2,1,1,2,12
2.633104781823867,3.704773680219777,3,1,1,2,0,0,12
2.6359603842384125,3.070758834239648,3,2,2,2,0,1,12
2.6419413815251005,3.621372104174902,0,0,3,2,1,1,12
2.6520004874139573,3.2890798607090415,3,0,2,1,1,0,12
2.6563421666730154,2.889831956537337,0,1,0,1,0,1,12
2.6595077455025526,3.108853725087898,1,0,1,1,1,0,12
2.6600878681703697,3.3013077654063747,0,1,3,1,1,0,12
2.6682581178977776,3.529805620207881,3,0,1,1,1,1,12
2.6686340884171535,3.666042702531266,0,0,2,1,1,2,12
2.6692463036280043,3.695438294112694,1,2,1,1,1,1,12
2.6700748834536503,3.263868207810675,1,1,3,1,1,0,12
2.6702087936459975,2.969925889105654,2,1,0,0,0,1,12
2.6797950780350193,3.7207650146412554,2,1,1,2,0,0,12
2.6807374039441347,3.567781737407018,3,0,3,0,1,0,12
2.6860140371470287,3.4852140968081393,0,0,1,2,1,2,12
2.6992122433188994,3.288411543874357,2,2,3,2,1,1,12
2.7022997132413433,3.898507531843149,1,1,3,2,0,0,12
2.7073921990503997,3.330556128418924,0,2,2,0,1,2,12
2.708206450841025,3.6571343350258436,2,2,1,0,1,0,12
2.70879620049179,3.5339909144127084,3,0,2,1,1,1,12
2.7106304492176436,3.2072570388161945,2,0,0,2,1,2,12
2.7108684107256296,3.1813688732459267,3,1,3,0,0,1,12
2.7168893736649578,3.0224739032147334,1,1,0,1,0,0,12
2.71786227348854,2.9167859862138865,3,1,3,1,0,0,12
2.7181948021242146,3.5655393363386185,2,0,2,1,1,1,12
2.72307567364534,3.323237268546225,0,2,0,0,1,1,12
2.7248238489519783,3.5440929223463478,2,0,1,1,1,1,12
2.729938359757565,3.160383534311006,2,0,1,1,1,0,12
2.739166364628046,3.8733068951340264,0,1,3,0,1,0,12
2.7398198172550075,3.299038048384532,1,1,0,2,1,0,12
2.7407044835259087,3.6381040911412916,3,0,0,1,1,1,12
2.741065579908686,3.8725302810326014,3,1,0,2,0,0,12
